Id,Source,Translation,Comment
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Nákup oblečení a vybavení.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,Umožňuje přístup k uniformám a dalšímu vybavení příslušníků odboje. Předměty se nakupují ze zásob.,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Obchod s vybavením,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Nákup oblečení a vybavení.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,Umožňuje přístup k uniformám a dalšímu vybavení poskytovanému spojeneckou frakcí. Předměty se nakupují za zásoby.,
JWK-BuildItem-FieldGarageMedium,Medium Garage,Střední garáž,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,Uložení 2 vozidel.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.","Umožňuje přiřadit dvě pozemní vozidla, aby se neztratila, a načíst je z větší vzdálenosti.",
JWK-BuildItem-FieldGarageSmall,Small Garage,Malá garáž,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,Uložit 1 vozidlo.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.","Umožňuje přiřadit dvě pozemní vozidla, aby nedošlo k jejich ztrátě, a umožňuje je vyzvednout z dálky.",
JWK-BuildItem-FiringPosition,Firing position,Palebná pozice,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,Připravte se na nezvané hosty.,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,Základní složení obrany.,
JWK-BuildItem-FuelPoint,Fuel point,Čerpací místo,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,Doplňování paliva do vozidel.,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,Umožňuje doplňování paliva pozemním vozidlům.,
JWK-BuildItem-GuardTower,Guard tower,Strážní věž,
JWK-BuildItem-GuardTower_Description,Get a better view.,Získejte lepší výhled.,
JWK-BuildItem-Helipad,Helipad,Heliport,
JWK-BuildItem-HelipadRepair,Service Helipad,Opravárenský heliport,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,Opravy vrtulníků.,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,Opravárenský Heliport umožňuje přidělit jeden vrtulník a umožňuje doplňování paliva a opravy vrtulníků. Může být postaven pouze na leteckých základnách.,
JWK-BuildItem-Helipad_Description,Store single helicopter.,Uložení jednoho vrtulníku.,
JWK-BuildItem-Helipad_DescriptionLong,"Helipad allows to assign a single helicopter, which protects it from being lost and enables retrieving it from far away. Basic version without refueling or repairing abilities.","Heliport umožňuje přiřadit jeden vrtulník, což jej chrání před ztrátou a umožňuje jeho vyzvednutí z velké vzdálenosti. Základní verze bez možnosti doplňování paliva a oprav.",
JWK-BuildItem-LivingArea,Living area,Obytný prostor,
JWK-BuildItem-LivingArea_Description,Shelter recruits.,Poskytuje ubytování vojákům.,
JWK-BuildItem-LivingArea_DescriptionLong,Provides living space for a few soldiers that can be recruited.,"Poskytuje obytný prostor pro několik vojáků, které lze naverbovat.",
JWK-BuildItem-MedicalTent,Medical tent,Zdravotnický stan,
JWK-BuildItem-MedicalTent_Description,Heal wounds and recover faster.,Léčba zranění a rychlejší zotavení.,
JWK-BuildItem-MedicalTent_DescriptionLong,Medical tent improves injury regeneration and allows to purchase medical goods using supplies.,Lékařský stan zlepšuje regeneraci zranění a umožňuje nákup zdravotnického zboží pomocí zásob.,
JWK-BuildItem-Mortar,Mortar,Minomet,
JWK-BuildItem-Mortar_Description,Send a message over long distance.,"Odeslání ""zpráv"" na dálku.",
JWK-BuildItem-Mortar_DescriptionLong,Complete mortar emplacement. Projectiles can be purchased using supplies.,Kompletní pozice minometu. Střely lze zakoupit ze zásob.,
JWK-BuildItem-StorageSmall,Small supplies storage,Skladování drobného materiálu,
JWK-BuildItem-StorageSmall-Description,Store 900 supplies.,Uskladní 900 zásob.,
JWK-BuildItem-StorageSmall-DescriptionLong,Allows to store 900 supplies. First one can be constructed for free.,Umožňuje uložit 900 zásob. První lze postavit zdarma.,
JWK-BuildItem-VehicleRamp,Vehicle maintenance ramp,Rampa pro údržbu vozidel,
JWK-BuildItem-VehicleRamp_Description,Repair vehicles.,Opravy vozidel.,
JWK-BuildItem-VehicleRamp_DescriptionLong,,Umožňuje opravy pozemních vozidel.,
JWK-BuildUI-Cost,Cost:,Náklady:,
JWK-BuildUI-Title,Build,Stavba,
JWK-CTA-ConstructionMenu,Construction menu,Stavební menu,
JWK-CTA-HideoutResupply,Resupply hideout,Úkryt pro doplnění zásob,
JWK-CTA-HideoutTakeSupplies,Take hideout supplies,Vyzvednout zásoby úkrytu,
JWK-CTA-ManageVehicles,Manage vehicles,Správa vozidel,
JWK-CTA-OpenMenu,Freedom Fighters,Freedom Fighters,
JWK-CTA-ParkVehicle,Park vehicle,Zaparkovat vozidlo,
JWK-CTA-Radio,Use radio,Použijte rádio,
JWK-CTA-TimeToWithstand,Withstand...,Zvedne se...,
JWK-CTA-TownDonateSupplies,Donate supplies to civilians,Darovat zásoby civilistům,
JWK-CharacterMenu,Character Menu,Nabídka postavy,
JWK-CharacterUI-Age,Age,Věk,
JWK-CharacterUI-Birthday,Birthday,Narozeniny,
JWK-CharacterUI-Birthplace,Birthplace,Místo narození,
JWK-CharacterUI-BloodType,Blood type,Krevní skupina,
JWK-CharacterUI-CharacterWanted,Wanted dead or alive.,Hledaný živý nebo mrtvý.,
JWK-CharacterUI-Title,Profile,Profil,
JWK-CharacterUI-VehicleWanted,Uses a wanted vehicle.,Používá hledané vozidlo.,
JWK-ConsoleUI-BackToMenu,Back to menu,Zpět do menu,
JWK-ConsoleUI-Text,"Due to missing modding features, the single player and local hosting experience is unavailable on console systems. We suggest setting up a private dedicated server or joining a public one.",Kvůli chybějícím funkcím modifikace není hra pro jednoho hráče a místní hostování na konzolových systémech dostupná. Doporučujeme zřídit si soukromý dedikovaný server nebo se připojit k veřejnému serveru.,
JWK-ConsoleUI-Title,Unavailable on consoles,Na konzolích nedostupné,
JWK-ConvoAction-Convert,Convince to support,Přesvědčit k podpoře,
JWK-ConvoAction-Extort,Extort money,Požadovat peníze,
JWK-ConvoChoice-AskHideoutLocation,Ask for a meeting,Požádat o schůzku,
JWK-ConvoChoice-AskJob,Ask for a job,Požádat o práci,
JWK-ConvoChoice-Confirm,Confirm,Potvrdit,
JWK-ConvoChoice-FollowMe,Ask to follow,Následuj mě,
JWK-ConvoChoice-GetPoster,Ask for posters,Požádat o plakáty,
JWK-ConvoChoice-Liberate,Liberate,Osvobodit,
JWK-ConvoChoice-ReportBack,Report back,Hlásit zpět,
JWK-ConvoChoice-ReportResistance,Report resistance activity,Nahlásit činnost odboje,
JWK-ConvoChoice-RequestReinforcements,Reinforcements,Posily,
JWK-ConvoChoice-RequestSupport,Request support,Žádost o podporu,
JWK-ConvoChoice-ResignJob,Resign from a job,Rezignovat z práce,
JWK-ConvoChoice-StopFollowing,Ask to stay,Zůstaň zde,
JWK-ConvoChoice-Trade,Trade,Obchod,
JWK-ConvoChoice-TurnDogtags,Turn in dogtags,Odevzdání identifikačních známek,
JWK-DialogUI-DestructionResetInfo-Message,"Restored objects may collide with constructions or vehicles left in place of destroyed objects, causing undesired effects. This is an experimental feature and it is recommended to back up your save.<br/><br/>Once you confirm this action, you have to force save and restart the server for the changes to take effect.","Obnovené objekty se mohou srazit se stavbami nebo vozidly ponechanými na místě zničených objektů, což může způsobit nežádoucí efekty. Jedná se o experimentální funkci a doporučuje se zálohovat uloženou hru.<br/><br/>Po potvrzení této akce je nutné provést nucené uložení a restartovat server, aby se změny projevily.",
JWK-DialogUI-DestructionResetInfo-Title,Destruction reset,Reset destrukce,
JWK-DialogUI-OnlineForceSave-Message,"Forced save will perform entire save in a single operation, which may block the server on large maps and with a lot of data. This may cause remote players, including you, to lose connection. This does not affect the save operation itself.","Vynucené uložení provede celé uložení v jediné operaci, což může u velkých map s velkým množstvím dat zablokovat server. To může způsobit, že vzdálení hráči, včetně vás, ztratí připojení. Na samotnou operaci ukládání to nemá vliv.",
JWK-DialogUI-OnlineForceSave-Title,Online session warning,Upozornění na online relaci,
JWK-DialogUI-OnlineReset-Message,"Are you sure to wipe the campaign save data? After proceeding the scenario will automatically restart.<br/><br/><b><color rgba='255,0,0,255'>WARNING: THIS OPERATION CANNOT BE REVERTED. YOU WILL LOSE ALL PROGRESS.</color></b>","Určitě chcete vymazat data uložení kampaně? Po pokračování se scénář automaticky restartuje.<br/><br/><b><color rgba='255,0,0,255'>UPOZORNĚNÍ: TUTO OPERACI NELZE VYMAZAT. Ztratíte veškerý postup.</color></b>",
JWK-DialogUI-OnlineReset-Title,Wipe warning,Upozornění na stírání,
JWK-DifficultyPreset-Custom,Custom,Vlastní,
JWK-DifficultyPreset-Easy,Easy,Lehká,
JWK-DifficultyPreset-Extreme,Extreme,Extrémní,
JWK-DifficultyPreset-Hard,Hard,Težká,
JWK-DifficultyPreset-Normal,Normal,Normální,
JWK-Dogtag_Description,Used to identify dead bodies found on the battlefield.,Slouží k identifikaci mrtvých těl nalezených na bojišti.,
JWK-Dogtag_Name_Dynamic,%1 dogtags,%1 identifikačních známek,
JWK-Dogtag_Name_Universal,Dogtags,Identifikační známky,
JWK-EHint-ClothesBloodied,Your clothes are bloodied. Wearing them breaks your disguise and makes you attract enemy attention. You should change your clothes or go for a swim.,Vaše oblečení je zakrvácené. Jejich nošení narušuje vaše maskování a přitahuje pozornost nepřátel. Měl by ses převléknout nebo si jít zaplavat.,
JWK-EHint-ClothesCleaned,Your clothes have been cleaned. Wearing them will not make you suspicious anymore.,Vaše oblečení bylo vyčištěno. Jejich nošení už nebude podezřelé.,
JWK-EHint-Combatant,"You will be treated as a combatant when openly carrying weapons or wearing combatant attire. Watch out, as you may become wanted if enemies see you.","Při otevřeném nošení zbraní nebo nošení bojového oděvu budete považováni za bojovníka. Dávejte si pozor, protože pokud vás nepřátelé uvidí, můžete se stát hledanými.",
JWK-EHint-Wanted,You are now wanted by the enemy. Hide in a safe place and remain out of sight for some time to lose the heat.,"Nyní po vás pátrá nepřítel. Schovejte se na bezpečném místě a nějakou dobu zůstaňte mimo dohled, abyste se zbavili podezření.",
JWK-EditSignUI-Text,Text,Text,
JWK-EditSignUI-TextColor,Text color,Barva textu,
JWK-EditSignUI-TextSize,Text size,Velikost textu,
JWK-EditSignUI-Title,Edit Sign,Upravit značku,
JWK-EditorAttrib-Heat,Heat level,Úroveň podezření,
JWK-EditorAttrib-HeatDescription,Set to 0% to remove wanted status.,"Musí být na 0 %, aby bylo odstraněno podezření.",
JWK-EditorAttrib-LockState,Locked,Zamčeno,
JWK-EditorAttrib-Money,Money,Peníze,
JWK-EndGameUI-GameOver,Defeat,Porážka,
JWK-EndGameUI-GameOverDescription,"Despite best efforts and heroic fight, %1 has failed to liberate %2. %3 forces are here to stay for a long time. Next time pay more attention to population support and logistics of your revolution. No military effort in history succeeded without these elements.",Přes veškerou snahu a hrdinský boj se %1 nepodařilo osvobodit %2. %3 síly zde zůstanou na dlouhou dobu. Příště věnujte větší pozornost podpoře obyvatelstva a logistice své revoluce. Bez těchto prvků neuspělo žádné vojenské úsilí v historii.,
JWK-EndGameUI-VictoryDescription,"Great job! Thanks to the relentless effort made by %1, the population of %2 will no longer be opressed by %3 forces. These heroic acts will be remembered by many generations to come.",Skvělá práce! Díky neúnavnému úsilí %1 již nebude obyvatelstvo %2 utlačováno silami %3. Na tyto hrdinské činy bude vzpomínat mnoho příštích generací.,
JWK-EndGameUI-VictoryTitle,Victory,Vítězství,
JWK-EpinephrineInfoWidget-Name,Use this to wake up incapacitated persons. Can be also self administered.,Použijte k probuzení osoby v bezvědomí. Lze aplikovat i na sebe.,
JWK-EpinephrineItem-Desc,One time use injector with a dose of epinephrine.,Jednorázový injektor s dávkou adrenalinu.,
JWK-EpinephrineItem-Name,Epinephrine,Epinefrin,
JWK-Everon-Airport,Airport,Letiště,
JWK-Everon-Barracks,Barracks,Kasárna,
JWK-Everon-CementPlant,Cement Plant,Cementárna,
JWK-Everon-ChotainFarm,Chotain Farm,Farma Chotain,
JWK-Everon-ConcretePlant,Concrete Plant,Betonárna,
JWK-Everon-EtoupeFarm,Etoupe Farm,Farma Etoupe,
JWK-Everon-FieldHospital,Field Hospital,Polní nemocnice,
JWK-Everon-Headquarters,Headquarters,Sídlo,
JWK-Everon-LeMouleSawmill,Le Moule Sawmill,Pila Le Moule,
JWK-Everon-LogisticsWarehouse,Logistics Warehouse,Logistický sklad,
JWK-Everon-MontignacFactory,Montignac Factory,Továrna Montignac,
JWK-Everon-MontignacFarm,Montignac Farm,Farma Montignac,
JWK-Everon-PowerPlant,Power Plant,Elektrárna,
JWK-Everon-Quarry,Quarry,Lom,
JWK-Everon-ReginaSawmill,Regina Sawmill,Pila Regina,
JWK-Everon-TrainingGrounds,Training Grounds,Cvičiště,
JWK-Everon-VDAlmaraFactory,VD Almara Factory,VD Almara továrna,
JWK-FM-Bases-Armories-06dedf77-Differenttypesof,"Different types of armories can be built, depending on the operating base type:<br/>- <b>Allied armory</b> is available at <b>military bases</b> and offers weapons and ammunition of your supporting faction.<br/>- <b>Field armory</b> is available at <b>FOBs</b> and offers weapons and ammunition of the player faction.",,
JWK-FM-Bases-Armories-3345caf7-Armoriesallowthe,Armories allow the purchase of weapons and ammunition using resources stored at the base.,,
JWK-FM-Bases-Armories-Title,Armories,Zbrojnice,
JWK-FM-Bases-Commandposts-8bb1df98-Commandpostenabl,"Command post enables you to have a <b>resistance officer</b> on site, allowing you to hand in dogtags, take posters or missions in your operating base, without the need to travel to a hideout.",,
JWK-FM-Bases-Commandposts-Title,Command posts,Velitelské stanoviště,
JWK-FM-Bases-Equipmentstores-Title,Equipment stores,Obchody s vybavením,
JWK-FM-Bases-Equipmentstores-d8a71344-Equipmentstoresa,Equipment stores allow you to purchase uniforms and non-lethal equipment using resources stored at the base.,,
JWK-FM-Bases-Equipmentstores-de2e01d5-Differenttypesof,"Different types of stores can be built, depending on the operating base type:<br/>- <b>Allied equipment</b> store is available at <b>military bases</b> and offers equipment of your supporting faction.<br/>- <b>Field equipment</b> store is available at <b>FOBs</b> and offers equipment of the player faction.",,
JWK-FM-Bases-Fasttravel-Title,Fast travel,Rychlá přeprava,
JWK-FM-Bases-Fasttravel-a813b24e-Tousefasttravely,"To use fast travel, you need to open your map and select the fast travel icon from the tool picker in the upper-left corner of the screen.",,
JWK-FM-Bases-Fasttravel-eec43e2e-Fasttravelisavai,"Fast travel is available only to player-controlled operating bases. It is more expensive than public transport, but it can be performed from any location, even far away from roads and infrastructure. You cannot fast travel while being wanted, but you don’t have to appear as a civilian.",,
JWK-FM-Bases-Garages-68db1d01-Contentsindevelo,Contents in development.,,
JWK-FM-Bases-Garages-Title,Garages,Garáže,
JWK-FM-Bases-Helipads-6d36d2ee-Helipadsofferasi,"Helipads offer a single parking spot to which helicopters can be assigned, and otherwise they are identical in functionality to garages.",,
JWK-FM-Bases-Helipads-Title,Helipads,Heliporty,
JWK-FM-Bases-Helipads-c9598955-Additionallytore,"Additionally to regular helipads, military bases allow to construct a <b>service helipad</b>, which can be used to repair helicopters.",,
JWK-FM-Bases-Medicaltents-5c66037a-Medicaltentsoffe,"Medical tents offer faster regeneration for <b>freedom fighters</b> residing inside. They are also a source for medical items such as bandages or epinephrine, which can be obtained by spending resources at the tent.","Lékařské stany nabízejí rychlejší regeneraci pro <b>bojovníky za svobodu</b> nacházející se uvnitř. Jsou také zdrojem zdravotnických předmětů, jako jsou obvazy nebo adrenalin, které lze získat výměnou za zdroje ve stanu.",
JWK-FM-Bases-Medicaltents-Title,Medical tents,Zdravotnické stany,
JWK-FM-Bases-Operatingbases-118e8b9d-FOBsarefieldbase,"FOBs are field bases and as such, offer fewer capabilities than <b>military bases</b>, and their armory and equipment assortment is limited to resistance assets. However, they can be established very early, before the resistance is strong enough to overtake a military base, and/or may be placed in very advantageous locations.",,
JWK-FM-Bases-Operatingbases-13fe477a-Theyaresomewhatc,"They are somewhat complementary to <b>FOBs</b>, as they offer more possibilities at the cost of their fixed placement.<br/>Fighters will find here regular army equipment of the <b>allied forces</b> and more construction options.",,
JWK-FM-Bases-Operatingbases-1aa99fda-ForwardOperating,Forward Operating Bases,Předsunuté základny,
JWK-FM-Bases-Operatingbases-2ffe51ca-FOBscanbeestabli,"FOBs can be established by resistance members using the entrenchment tool, via the placement menu. They need to be placed at a sufficient distance from enemy-controlled facilities, towns and other points of interest. You can use <b>FOB Placement</b> map tool to plan the location in advance.",,
JWK-FM-Bases-Operatingbases-6b95ccef-Militarybases,Military bases,Vojenské základny,
JWK-FM-Bases-Operatingbases-Title,Operating bases,Operační základny,
JWK-FM-Bases-Operatingbases-b1d88111-Therearetwotypes,"There are two types of operating bases, as described below.",,
JWK-FM-Bases-Operatingbases-b3eebffa-Militarybasesare,"<b>Military bases</b> are existing locations in the world, controlled by the enemy. After they are taken over,<br/>they can be used as <b>operating bases</b>.",,
JWK-FM-Bases-Operatingbases-c2aae2f7-Operatingbasesar,"Operating bases are locations in which resistance members can construct buildings and fortifications, store resources, operate garages, repair and refuel vehicles, and more. If enough resources are stored, an operating base may be used as a <b>respawn location</b>.",,
JWK-FM-Bases-Repairstations-Title,Repair stations,Opravárenské stanice,
JWK-FM-Bases-Repairstations-fffb0a25-Repairstationsal,"Repair stations allow to repair vehicles of relevant category. To repair ground vehicles, build a <b>vehicle maintenance ramp</b>. To repair helicopters, build a <b>service helipad</b>. Follow base game mechanics to carry out the repairs - equip yourself with a wrench and approach the damaged elements until you see a relevant action. The repairs will consume resources stored at the location.","Opravárenská stanoviště umožňují opravovat vozidla příslušné kategorie. Pro opravu pozemních vozidel postavte <b>údržbovou rampu</b>. Pro opravu vrtulníků postavte <b>servisní heliport</b>. Pro provedení oprav postupujte podle mechanik základní hry - vybavte se klíčem a přistupte k poškozeným částem, dokud se nezobrazí příslušná akce. Opravy spotřebují zdroje uložené na daném místě.",
JWK-FM-Bases-Storages-414463b7-Astheresourcesfo,"As the resources for construction are pulled from the base pool, the first supply storage in a base can be constructed without spending any resources.",,
JWK-FM-Bases-Storages-Title,Storages,Sklady,
JWK-FM-Bases-Storages-c14ca45a-Resourcesinstora,Resources in storage are persistent and do not expire or decay.,,
JWK-FM-Bases-Storages-f3df6a65-Storagesarealway,"Storages are always the first construction to be raised in an operating base. They store resources of different types and make them available to use within a base. Different to base game supply system, resources in <b>Freedom Fighters</b> are not vicinity based and cannot be used directly from trucks and other sources.",,
JWK-FM-Bases-Title,Bases,,
JWK-FM-FreedomFighters-Title,Freedom Fighters,Freedom Fighters,
JWK-FM-Gameplay-Appearance-1c33c293-Settings,Settings,Nastavení,
JWK-FM-Gameplay-Appearance-6e33d8d5-Dependingonyourd,"Depending on your difficulty settings, you may see a status icon denoting whether your character is perceived as a combatant.",,
JWK-FM-Gameplay-Appearance-6e5fc65a-Theabsenceofashi,"The absence of a shirt, pants, or boots will cause your character to attract enemy attention. After all, someone running around in only their underwear is bound to look suspicious.",,
JWK-FM-Gameplay-Appearance-Title,Appearance,Vzhled,
JWK-FM-Gameplay-Appearance-a328a3b5-Appearancereflec,Appearance reflects how your character is perceived by others and depends on all worn attire and held items. Wearing any piece of military clothing will cause your character to be identified as a <b>combatant</b>. This means enemies will shoot on sight and mark you as wanted — the same applies to openly carrying any type of weapon.,,
JWK-FM-Gameplay-Appearance-f695f3b2-Asthebasegamedoe,"As the base game does not contain any civilian backpacks, the general purpose military ones are not treated as military equipment.",,
JWK-FM-Gameplay-Battles-10a56cd3-Phases,Phases,Fáze,
JWK-FM-Gameplay-Battles-16056caa-DeploymentphaseT,"- <b>Deployment phase</b> - The enemy is still deploying onto the battlefield. The progress bar is yellow and represents how much of their forces are already fielded. Once the bar completes, the battle will transition into domination phase.<br/>- <b>Domination phase</b> - The sides fight for control. The progress bar is green and represents resistance control over the location. Control will increase every few moments if there are more <b>freedom fighters</b> in the <b>contested area</b> than enemies in the near vicinity.",,
JWK-FM-Gameplay-Battles-3ed7f03b-Battlesoccurwhen,"Battles occur when control over a certain point of interest is contested. When a battle is won, the contesting faction takes control. Refer to the specific location description to learn how to provoke a battle. Only one battle can be active at any given moment and its progress cannot be saved. If the game is closed during a battle, the battle will need to be started from the beginning. Battle length and intensity depend on the number of players online, campaign progress, location significance, and threat level.",,
JWK-FM-Gameplay-Battles-7588c7d1-Eachbattleconsis,Each battle consists of two phases:,,
JWK-FM-Gameplay-Battles-Title,Battles,Bitvy,
JWK-FM-Gameplay-Battles-a09683c9-Iftherearenofree,"If there are no <b>freedom fighters</b> in the contested area, the resistance will begin to rapidly lose control. In this case, the progress bar will turn red. Once the bar fills, the battle will be lost.",,
JWK-FM-Gameplay-Battles-fd8642f4-Onceabattlebegin,"Once a battle begins, everyone will see a notification. A progress bar will appear at the top of the screen, accompanied by the location name. The battle location will also be marked on the map, denoting the <b>contested area</b> by a stripe pattern.",,
JWK-FM-Gameplay-Beingwanted-043c45de-Civilianshopswil,- Civilian shops will not serve you<br/>- Resistance representatives may not want to talk to you<br/>- Public transport becomes unavailable<br/>- Resting becomes unavailable<br/>- ...and more.,,
JWK-FM-Gameplay-Beingwanted-1a7649c6-Heat,Heat,Podezření,
JWK-FM-Gameplay-Beingwanted-69f36db4-Variousactivitie,"Various activities may cause your character to become <b>wanted</b>. This means your character is actively hunted by enemy forces and will be shot on sight, even if you appear as a civilian. Being wanted also has many negative side effects, such as:",,
JWK-FM-Gameplay-Beingwanted-Title,Being wanted,Být hledaný,
JWK-FM-Gameplay-Beingwanted-c33e2264-Heatlevelisameas,"<b>Heat level</b> is a measure of how much your character is wanted by the enemy. Once it drops to 0, you will no longer be wanted. Heat decreases over time as long as you stay out of sight of enemy troops. Your current heat level is represented by the fill level of the wanted status icon in the HUD. The time required to fully lose maximum heat depends on your difficulty settings.",,
JWK-FM-Gameplay-Beingwanted-e744d667-Ifyourcharacterd,"If your character dies, the heat level and wanted state does not transfer to your new character.",,
JWK-FM-Gameplay-Characterstatus-16ffc6b8-Visibleifyourcha,"Visible if your character is considered a <b>combatant</b>. This is caused by carrying weapons, using military vehicles, and wearing military attire — or wearing no attire at all.",,
