Id,Source,Translation,Comment
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Zerstörung zurücksetzen (in der Nähe),
JWK-AdminUI-Title,Admin menu,Admin -Menü,
JWK-AdminUI-WipeSaveData,Wipe save data,Löschen Sie Daten speichern,
JWK-Arland-Airport,Airport,Flughafen,
JWK-Arland-NewfieldFarm,Newfield Farm,Newfield Farm,
JWK-BankUI-Amount,Amount,Menge,
JWK-BankUI-MoneyTransfer,Money transfer,Geldübertragung,
JWK-BankUI-Perform,Perform,Durchführen,
JWK-BankUI-Recipient,Receiver,Empfänger,
JWK-BankUI-YourMoney,Your money,Dein Geld,
JWK-BattleFallbackTitle,Battle,Schlacht,
JWK-BattlePlayerLosing,Resistance is losing control...,Widerstand verliert die Kontrolle ...,
JWK-BattleProgress,Battle in progress...,Kampf in Arbeit ...,
JWK-BrokenSave-Text,"Save game data incompatible with this version of the mod has been detected. Please start a new campaign or revert the update to continue playing.<br/><br/>Use the ""<b>Restart</b>"" option in the pause menu or the ""<b>Wipe save data</b>"" in the admin menu to restart.",,
JWK-BuildItem-ArmoryFOB,Field armory,Feld Army,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Kaufen Sie Waffen und Munition.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,,
JWK-BuildItem-ArmoryMOB,Allied armory,Allied Waffenkammer,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Kaufen Sie Waffen und Munition.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,,
JWK-BuildItem-Bunker,Bunker,Bunker,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Gemütlicher Ort für Ihre Wachen.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Platzieren Sie es an einen guten Beobachtungsort.,
JWK-BuildItem-CommandPost,Command post,Befehlsposten,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Einen Offizier vor Ort haben.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Ausrüstungsgeschäft,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Kleidung und Ausrüstung kaufen.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Ausrüstungsgeschäft,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Kleidung und Ausrüstung kaufen.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,,
JWK-BuildItem-FieldGarageMedium,Medium Garage,Mittelgroße Garage,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,Lagern Sie 2 Fahrzeuge.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.",,
JWK-BuildItem-FieldGarageSmall,Small Garage,Kleine Garage,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,Lagern Sie 1 Fahrzeug.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.",,
JWK-BuildItem-FiringPosition,Firing position,Feuerstellung,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,Bereiten Sie sich auf unerwünschte Gäste vor.,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,Grundlegende Verteidigungskomposition.,
JWK-BuildItem-FuelPoint,Fuel point,Kraftstoffpunkt,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,Fahrzeuge tanken.,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,,
JWK-BuildItem-GuardTower,Guard tower,Wachenturm,
JWK-BuildItem-GuardTower_Description,Get a better view.,Holen Sie sich eine bessere Sicht.,
JWK-BuildItem-Helipad,Helipad,Helipad,
JWK-BuildItem-HelipadRepair,Service Helipad,Service Hubschrauberte,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,Hubschrauber reparieren.,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,,
JWK-BuildItem-Helipad_Description,Store single helicopter.,Lagern Sie Single -Hubschrauber.,
JWK-BuildItem-Helipad_DescriptionLong,"Helipad allows to assign a single helicopter, which protects it from being lost and enables retrieving it from far away. Basic version without refueling or repairing abilities.",,
JWK-BuildItem-LivingArea,Living area,Wohnbereich,
JWK-BuildItem-LivingArea_Description,Shelter recruits.,Shelter Recruits.,
JWK-BuildItem-LivingArea_DescriptionLong,Provides living space for a few soldiers that can be recruited.,,
JWK-BuildItem-MedicalTent,Medical tent,Medizinisches Zelt,
JWK-BuildItem-MedicalTent_Description,Heal wounds and recover faster.,Wunden heilen und schneller erholen.,
JWK-BuildItem-MedicalTent_DescriptionLong,Medical tent improves injury regeneration and allows to purchase medical goods using supplies.,,
JWK-BuildItem-Mortar,Mortar,Mörtel,
JWK-BuildItem-Mortar_Description,Send a message over long distance.,Senden Sie eine Nachricht über Ferngespräche.,
JWK-BuildItem-Mortar_DescriptionLong,Complete mortar emplacement. Projectiles can be purchased using supplies.,Komplette Mörtelwechsel. Projektile können mit Vorräten gekauft werden.,
JWK-BuildItem-StorageSmall,Small supplies storage,Kleine Vorräte Lagerung,
JWK-BuildItem-StorageSmall-Description,Store 900 supplies.,Lagern Sie 900 Vorräte.,
JWK-BuildItem-StorageSmall-DescriptionLong,Allows to store 900 supplies. First one can be constructed for free.,Ermöglicht das Speichern von 900 Vorräten. Zuerst kann man kostenlos konstruiert werden.,
JWK-BuildItem-VehicleRamp,Vehicle maintenance ramp,Fahrzeugwartungsrampe,
JWK-BuildItem-VehicleRamp_Description,Repair vehicles.,Fahrzeuge reparieren.,
JWK-BuildItem-VehicleRamp_DescriptionLong,,,
JWK-BuildUI-Cost,Cost:,Kosten:,
JWK-BuildUI-Title,Build,Bauen,
JWK-CTA-ConstructionMenu,Construction menu,Konstruktionsmenü,
JWK-CTA-HideoutResupply,Resupply hideout,Versteck nachverkaufen,
JWK-CTA-HideoutTakeSupplies,Take hideout supplies,Nehmen Sie Versteckvorräte,
JWK-CTA-ManageVehicles,Manage vehicles,Fahrzeuge verwalten,
JWK-CTA-OpenMenu,Freedom Fighters,Freiheitskämpfer,
JWK-CTA-ParkVehicle,Park vehicle,Parkfahrzeug,
JWK-CTA-Radio,Use radio,Verwenden Sie Radio,
JWK-CTA-TimeToWithstand,Withstand...,Standhalten in ...,
JWK-CTA-TownDonateSupplies,Donate supplies to civilians,Zivilbevölkerung spenden Vorräte,
JWK-CharacterMenu,Character Menu,Zeichenmenü,
JWK-CharacterUI-Age,Age,Alter,
JWK-CharacterUI-Birthday,Birthday,Geburtstag,
JWK-CharacterUI-Birthplace,Birthplace,Geburtsort,
JWK-CharacterUI-BloodType,Blood type,Blutgruppe,
JWK-CharacterUI-CharacterWanted,Wanted dead or alive.,Wollte tot oder lebendig.,
JWK-CharacterUI-Title,Profile,Profil,
JWK-CharacterUI-VehicleWanted,Uses a wanted vehicle.,Benutzt ein gesuchisches Fahrzeug.,
JWK-ConsoleUI-BackToMenu,Back to menu,Zurück zum Menü,
JWK-ConsoleUI-Text,"Due to missing modding features, the single player and local hosting experience is unavailable on console systems. We suggest setting up a private dedicated server or joining a public one.",,
JWK-ConsoleUI-Title,Unavailable on consoles,Auf Konsolen nicht verfügbar,
JWK-ConvoAction-Convert,Convince to support,Überzeugen zur Unterstützung,
JWK-ConvoAction-Extort,Extort money,Geld erpressen,
JWK-ConvoChoice-AskHideoutLocation,Ask for a meeting,Bitten Sie um ein Treffen,
JWK-ConvoChoice-AskJob,Ask for a job,Fragen Sie um einen Job,
JWK-ConvoChoice-Confirm,Confirm,Bestätigen,
JWK-ConvoChoice-FollowMe,Ask to follow,,
JWK-ConvoChoice-GetPoster,Ask for posters,Bitten Sie nach Postern,
JWK-ConvoChoice-Liberate,Liberate,,
JWK-ConvoChoice-ReportBack,Report back,Bericht erstatten,
JWK-ConvoChoice-ReportResistance,Report resistance activity,Resistenzaktivität melden,
JWK-ConvoChoice-RequestReinforcements,Reinforcements,Verstärkung,
JWK-ConvoChoice-RequestSupport,Request support,Support anfordern,
JWK-ConvoChoice-ResignJob,Resign from a job,Von einem Job zurücktreten,
JWK-ConvoChoice-StopFollowing,Ask to stay,,
JWK-ConvoChoice-Trade,Trade,Handel,
JWK-ConvoChoice-TurnDogtags,Turn in dogtags,Dogtags einbinden,
JWK-DialogUI-DestructionResetInfo-Message,"Restored objects may collide with constructions or vehicles left in place of destroyed objects, causing undesired effects. This is an experimental feature and it is recommended to back up your save.<br/><br/>Once you confirm this action, you have to force save and restart the server for the changes to take effect.",,
JWK-DialogUI-DestructionResetInfo-Title,Destruction reset,Zerstörung zurückgesetzt,
JWK-DialogUI-OnlineForceSave-Message,"Forced save will perform entire save in a single operation, which may block the server on large maps and with a lot of data. This may cause remote players, including you, to lose connection. This does not affect the save operation itself.",,
JWK-DialogUI-OnlineForceSave-Title,Online session warning,Online -Sitzungswarnung,
JWK-DialogUI-OnlineReset-Message,"Are you sure to wipe the campaign save data? After proceeding the scenario will automatically restart.<br/><br/><b><color rgba='255,0,0,255'>WARNING: THIS OPERATION CANNOT BE REVERTED. YOU WILL LOSE ALL PROGRESS.</color></b>",,
JWK-DialogUI-OnlineReset-Title,Wipe warning,Warnung wischen,
JWK-DifficultyPreset-Custom,Custom,Brauch,
JWK-DifficultyPreset-Easy,Easy,Einfach,
JWK-DifficultyPreset-Extreme,Extreme,Extrem,
JWK-DifficultyPreset-Hard,Hard,Hart,
JWK-DifficultyPreset-Normal,Normal,Normal,
JWK-Dogtag_Description,Used to identify dead bodies found on the battlefield.,,
JWK-Dogtag_Name_Dynamic,%1 dogtags,%1 Hundetags,
JWK-Dogtag_Name_Universal,Dogtags,Dogtags,
JWK-EHint-ClothesBloodied,Your clothes are bloodied. Wearing them breaks your disguise and makes you attract enemy attention. You should change your clothes or go for a swim.,,
JWK-EHint-ClothesCleaned,Your clothes have been cleaned. Wearing them will not make you suspicious anymore.,,
JWK-EHint-Combatant,"You will be treated as a combatant when openly carrying weapons or wearing combatant attire. Watch out, as you may become wanted if enemies see you.",,
JWK-EHint-Wanted,You are now wanted by the enemy. Hide in a safe place and remain out of sight for some time to lose the heat.,,
JWK-EditSignUI-Text,Text,Text,
JWK-EditSignUI-TextColor,Text color,Textfarbe,
JWK-EditSignUI-TextSize,Text size,Textgröße,
JWK-EditSignUI-Title,Edit Sign,Schild bearbeiten,
JWK-EditorAttrib-Heat,Heat level,Wärmespiegel,
JWK-EditorAttrib-HeatDescription,Set to 0% to remove wanted status.,,
JWK-EditorAttrib-LockState,Locked,Verschlossen,
JWK-EditorAttrib-Money,Money,Geld,
JWK-EndGameUI-GameOver,Defeat,Verlust,
JWK-EndGameUI-GameOverDescription,"Despite best efforts and heroic fight, %1 has failed to liberate %2. %3 forces are here to stay for a long time. Next time pay more attention to population support and logistics of your revolution. No military effort in history succeeded without these elements.",,
JWK-EndGameUI-VictoryDescription,"Great job! Thanks to the relentless effort made by %1, the population of %2 will no longer be opressed by %3 forces. These heroic acts will be remembered by many generations to come.",,
JWK-EndGameUI-VictoryTitle,Victory,Sieg,
JWK-EpinephrineInfoWidget-Name,Use this to wake up incapacitated persons. Can be also self administered.,,
JWK-EpinephrineItem-Desc,One time use injector with a dose of epinephrine.,Einmal in einem Injektor mit einer Dosis von Adrenalin.,
JWK-EpinephrineItem-Name,Epinephrine,Epinephrin,
JWK-Everon-Airport,Airport,Flughafen,
JWK-Everon-Barracks,Barracks,Kaserne,
JWK-Everon-CementPlant,Cement Plant,Zementanlage,
JWK-Everon-ChotainFarm,Chotain Farm,Chotain Farm,
JWK-Everon-ConcretePlant,Concrete Plant,Betonpflanze,
JWK-Everon-EtoupeFarm,Etoupe Farm,Etoupe Farm,
JWK-Everon-FieldHospital,Field Hospital,Feldkrankenhaus,
JWK-Everon-Headquarters,Headquarters,Hauptsitz,
JWK-Everon-LeMouleSawmill,Le Moule Sawmill,Le Moule Sägewerk,
JWK-Everon-LogisticsWarehouse,Logistics Warehouse,Logistiklager,
JWK-Everon-MontignacFactory,Montignac Factory,Montignac Factory,
JWK-Everon-MontignacFarm,Montignac Farm,Montignac Farm,
JWK-Everon-PowerPlant,Power Plant,Kraftwerk,
JWK-Everon-Quarry,Quarry,Steinbruch,
JWK-Everon-ReginaSawmill,Regina Sawmill,Regina Sawmill,
JWK-Everon-TrainingGrounds,Training Grounds,Trainingsgelände,
JWK-Everon-VDAlmaraFactory,VD Almara Factory,VD Almara -Fabrik,
JWK-FM-Bases-Armories-06dedf77-Differenttypesof,"Different types of armories can be built, depending on the operating base type:<br/>- <b>Allied armory</b> is available at <b>military bases</b> and offers weapons and ammunition of your supporting faction.<br/>- <b>Field armory</b> is available at <b>FOBs</b> and offers weapons and ammunition of the player faction.",,
JWK-FM-Bases-Armories-3345caf7-Armoriesallowthe,Armories allow the purchase of weapons and ammunition using resources stored at the base.,,
JWK-FM-Bases-Armories-Title,Armories,Waffenstände,
JWK-FM-Bases-Commandposts-8bb1df98-Commandpostenabl,"Command post enables you to have a <b>resistance officer</b> on site, allowing you to hand in dogtags, take posters or missions in your operating base, without the need to travel to a hideout.",,
JWK-FM-Bases-Commandposts-Title,Command posts,Befehlsbeiträge,
JWK-FM-Bases-Equipmentstores-Title,Equipment stores,Ausrüstungsgeschäfte,
JWK-FM-Bases-Equipmentstores-d8a71344-Equipmentstoresa,Equipment stores allow you to purchase uniforms and non-lethal equipment using resources stored at the base.,,
JWK-FM-Bases-Equipmentstores-de2e01d5-Differenttypesof,"Different types of stores can be built, depending on the operating base type:<br/>- <b>Allied equipment</b> store is available at <b>military bases</b> and offers equipment of your supporting faction.<br/>- <b>Field equipment</b> store is available at <b>FOBs</b> and offers equipment of the player faction.",,
JWK-FM-Bases-Fasttravel-7e4908e6-Fasttravelisavai,"Fast travel is available only to player-controlled operating bases. It is more expensive than public transport, but it can be performed from any location, even far away from roads and infrastructure. You cannot fast travel while being wanted, but you don't have to appear as a civilian.",,
JWK-FM-Bases-Fasttravel-Title,Fast travel,Schnelle Reise,
JWK-FM-Bases-Fasttravel-a813b24e-Tousefasttravely,"To use fast travel, you need to open your map and select the fast travel icon from the tool picker in the upper-left corner of the screen.",,
JWK-FM-Bases-Garages-68db1d01-Contentsindevelo,Contents in development.,,
JWK-FM-Bases-Garages-Title,Garages,Garagen,
JWK-FM-Bases-Helipads-6d36d2ee-Helipadsofferasi,"Helipads offer a single parking spot to which helicopters can be assigned, and otherwise they are identical in functionality to garages.",,
JWK-FM-Bases-Helipads-Title,Helipads,Helipads,
JWK-FM-Bases-Helipads-c9598955-Additionallytore,"Additionally to regular helipads, military bases allow to construct a <b>service helipad</b>, which can be used to repair helicopters.",,
JWK-FM-Bases-Medicaltents-5c66037a-Medicaltentsoffe,"Medical tents offer faster regeneration for <b>freedom fighters</b> residing inside. They are also a source for medical items such as bandages or epinephrine, which can be obtained by spending resources at the tent.",,
JWK-FM-Bases-Medicaltents-Title,Medical tents,Medizinische Zelte,
JWK-FM-Bases-Operatingbases-118e8b9d-FOBsarefieldbase,"FOBs are field bases and as such, offer fewer capabilities than <b>military bases</b>, and their armory and equipment assortment is limited to resistance assets. However, they can be established very early, before the resistance is strong enough to overtake a military base, and/or may be placed in very advantageous locations.",,
JWK-FM-Bases-Operatingbases-13fe477a-Theyaresomewhatc,"They are somewhat complementary to <b>FOBs</b>, as they offer more possibilities at the cost of their fixed placement.<br/>Fighters will find here regular army equipment of the <b>allied forces</b> and more construction options.",,
JWK-FM-Bases-Operatingbases-1aa99fda-ForwardOperating,Forward Operating Bases,Vorwärtsbasen vorwärts,
JWK-FM-Bases-Operatingbases-2ffe51ca-FOBscanbeestabli,"FOBs can be established by resistance members using the entrenchment tool, via the placement menu. They need to be placed at a sufficient distance from enemy-controlled facilities, towns and other points of interest. You can use <b>FOB Placement</b> map tool to plan the location in advance.",,
JWK-FM-Bases-Operatingbases-6b95ccef-Militarybases,Military bases,Militärbasen,
JWK-FM-Bases-Operatingbases-Title,Operating bases,Betriebsbasen,
JWK-FM-Bases-Operatingbases-b1d88111-Therearetwotypes,"There are two types of operating bases, as described below.",,
JWK-FM-Bases-Operatingbases-b3eebffa-Militarybasesare,"<b>Military bases</b> are existing locations in the world, controlled by the enemy. After they are taken over,<br/>they can be used as <b>operating bases</b>.",,
JWK-FM-Bases-Operatingbases-c2aae2f7-Operatingbasesar,"Operating bases are locations in which resistance members can construct buildings and fortifications, store resources, operate garages, repair and refuel vehicles, and more. If enough resources are stored, an operating base may be used as a <b>respawn location</b>.",,
JWK-FM-Bases-Repairstations-87234f74-Repairstationsal,"Repair stations allow to repair vehicles of relevant category. To repair ground vehicles, build a <b>vehicle maintenance ramp</b>. To repair helicopters, build a <b>service helipad</b>. Follow base game mechanics to carry out the repairs - equip yourself with a wrench and approach the damaged elements until you see a relevant action. The repairs will consume resources stored at the location.",,
JWK-FM-Bases-Repairstations-Title,Repair stations,Reparaturstationen,
JWK-FM-Bases-Storages-414463b7-Astheresourcesfo,"As the resources for construction are pulled from the base pool, the first supply storage in a base can be constructed without spending any resources.",,
JWK-FM-Bases-Storages-Title,Storages,Speicher,
JWK-FM-Bases-Storages-c14ca45a-Resourcesinstora,Resources in storage are persistent and do not expire or decay.,,
JWK-FM-Bases-Storages-f3df6a65-Storagesarealway,"Storages are always the first construction to be raised in an operating base. They store resources of different types and make them available to use within a base. Different to base game supply system, resources in <b>Freedom Fighters</b> are not vicinity based and cannot be used directly from trucks and other sources.",,
JWK-FM-Bases-Title,Bases,,
JWK-FM-FreedomFighters-Title,Freedom Fighters,Freiheitskämpfer,
JWK-FM-Gameplay-Appearance-1c33c293-Settings,Settings,Einstellungen,
JWK-FM-Gameplay-Appearance-6e33d8d5-Dependingonyourd,"Depending on your difficulty settings, you may see a status icon denoting whether your character is perceived as a combatant.",,
JWK-FM-Gameplay-Appearance-6e5fc65a-Theabsenceofashi,"The absence of a shirt, pants, or boots will cause your character to attract enemy attention. After all, someone running around in only their underwear is bound to look suspicious.",,
JWK-FM-Gameplay-Appearance-Title,Appearance,Aussehen,
JWK-FM-Gameplay-Appearance-c4a1e618-Appearancereflec,Appearance reflects how your character is perceived by others and depends on all worn attire and held items. Wearing any piece of military clothing will cause your character to be identified as a <b>combatant</b>. This means enemies will shoot on sight and mark you as wanted - the same applies to openly carrying any type of weapon.,,
JWK-FM-Gameplay-Appearance-f695f3b2-Asthebasegamedoe,"As the base game does not contain any civilian backpacks, the general purpose military ones are not treated as military equipment.",,
JWK-FM-Gameplay-Battles-10a56cd3-Phases,Phases,Phasen,
JWK-FM-Gameplay-Battles-3ed7f03b-Battlesoccurwhen,"Battles occur when control over a certain point of interest is contested. When a battle is won, the contesting faction takes control. Refer to the specific location description to learn how to provoke a battle. Only one battle can be active at any given moment and its progress cannot be saved. If the game is closed during a battle, the battle will need to be started from the beginning. Battle length and intensity depend on the number of players online, campaign progress, location significance, and threat level.",,
JWK-FM-Gameplay-Battles-7588c7d1-Eachbattleconsis,Each battle consists of two phases:,,
JWK-FM-Gameplay-Battles-96dcdbd5-DeploymentphaseT,"- <b>Deployment phase</b> - The enemy is still deploying onto the battlefield. The progress bar is yellow and represents how much of their forces are already fielded. Once the bar completes, the battle will transition into domination phase.<br/>- <b>Domination phase</b> - The sides fight for control. The progress bar is green and represents resistance control over the location. Control will increase every few moments if there are more <b>freedom fighters</b> in the <b>contested area</b> than enemies in the near vicinity.",,
JWK-FM-Gameplay-Battles-Title,Battles,Schlachten,
JWK-FM-Gameplay-Battles-a09683c9-Iftherearenofree,"If there are no <b>freedom fighters</b> in the contested area, the resistance will begin to rapidly lose control. In this case, the progress bar will turn red. Once the bar fills, the battle will be lost.",,
JWK-FM-Gameplay-Battles-fd8642f4-Onceabattlebegin,"Once a battle begins, everyone will see a notification. A progress bar will appear at the top of the screen, accompanied by the location name. The battle location will also be marked on the map, denoting the <b>contested area</b> by a stripe pattern.",,
JWK-FM-Gameplay-Beingwanted-043c45de-Civilianshopswil,- Civilian shops will not serve you<br/>- Resistance representatives may not want to talk to you<br/>- Public transport becomes unavailable<br/>- Resting becomes unavailable<br/>- ...and more.,,
JWK-FM-Gameplay-Beingwanted-1a7649c6-Heat,Heat,Hitze,
JWK-FM-Gameplay-Beingwanted-69f36db4-Variousactivitie,"Various activities may cause your character to become <b>wanted</b>. This means your character is actively hunted by enemy forces and will be shot on sight, even if you appear as a civilian. Being wanted also has many negative side effects, such as:",,
JWK-FM-Gameplay-Beingwanted-Title,Being wanted,Gesucht werden,
JWK-FM-Gameplay-Beingwanted-c33e2264-Heatlevelisameas,"<b>Heat level</b> is a measure of how much your character is wanted by the enemy. Once it drops to 0, you will no longer be wanted. Heat decreases over time as long as you stay out of sight of enemy troops. Your current heat level is represented by the fill level of the wanted status icon in the HUD. The time required to fully lose maximum heat depends on your difficulty settings.",,
JWK-FM-Gameplay-Beingwanted-e744d667-Ifyourcharacterd,"If your character dies, the heat level and wanted state does not transfer to your new character.",,
JWK-FM-Gameplay-Characterstatus-4a10a90c-Visibleifyourcha,"Visible if your character is considered a <b>combatant</b>. This is caused by carrying weapons, using military vehicles, and wearing military attire - or wearing no attire at all.",,
JWK-FM-Gameplay-Characterstatus-6191884d-Visibleifyourcha,Visible if your character is within an <b>illegal area</b>.,,
JWK-FM-Gameplay-Characterstatus-8173edf0-Visiblewhenyourc,"Visible when your character is within enemy sight. Pulling out weapons, acting suspiciously, or committing crimes is not the best idea.",,
JWK-FM-Gameplay-Characterstatus-90edef57-Visibleifyourcha,"Visible if your character is <b>wanted</b>. Its fill level represents how much <b>heat</b> your character has, which reduces over time as you remain hidden.",,
JWK-FM-Gameplay-Characterstatus-990f1590-Visibleifyourcha,"Visible if your character is <b>undercover</b>, which means it's impersonating an enemy soldier.",,
JWK-FM-Gameplay-Characterstatus-Title,Character status,Charakterstatus,
JWK-FM-Gameplay-Characterstatus-b6527c5a-Visibleifyourcha,"Visible if your character has been detected as a threat and is within enemy sight. If you are at a distance, concealed, or in the dark, it will take longer for the enemies to recognize you. When this happens, the icon will gradually fill up, giving you a brief chance to hide.",,
JWK-FM-Gameplay-Characterstatus-cbab7f7a-Icons,Icons,Ikonen,
JWK-FM-Gameplay-Characterstatus-e3b5523c-Characterstatusi,"<b>Character status</b> is indicated by various icons shown on the HUD in the upper-right corner of the screen. Depending on your <b>difficulty settings</b>, some of the indicators listed below may not be displayed in your game.",,
JWK-FM-Gameplay-Commanding-30012d8c-Youcancommandasq,"You can command a squad using the vanilla commanding system. Your subordinates are persistent and in multiplayer sessions enter and exit the game with you. If your character dies, your squad will become detached. Any player, including you, can take command over a detached fighter by approaching them and using an action. Therefore, you can regain command if you return to your former squad with a new character quickly enough. A detached squad will disappear if there is no one nearby for a certain time.",,
JWK-FM-Gameplay-Commanding-Title,Commanding,Befehl,
JWK-FM-Gameplay-Construction-080c18fe-Placeableobjects,"Placeable objects are smaller props that are paid for in money by the placing person. If an item can be owned, it will be automatically linked to the person placing it (for example: item storages). <b>Right now placed items cannot be moved or removed</b>.",,
JWK-FM-Gameplay-Construction-18190382-Building,Building,Gebäude,
JWK-FM-Gameplay-Construction-83b857c3-Constructionincl,"Construction includes placement of various items in the world and building structures. Both these actions are available via <b>radial menu</b>, but will only appear if your character is equipped with an <b>entrenching tool</b>. Moreover, construction is only possible at <b>operating bases</b> controlled by the resistance.",,
JWK-FM-Gameplay-Construction-Title,Construction,Konstruktion,
JWK-FM-Gameplay-Construction-ca2af7ad-Placement,Placement,Platzierung,
JWK-FM-Gameplay-Construction-de224224-Buildablestructu,"Buildable structures cost resources, which are taken from the location storage. <b>Right now raised structures cannot be moved or removed</b>. Structures belong to the resistance in general and are not linked to the specific person constructing them.",,
JWK-FM-Gameplay-Illegalzones-4c63a8ca-Therearemanyarea,"There are many areas that are forbidden to enter for civilians. Any players spotted in these areas will be instantly shot and hunted. Depending on your settings, these areas will be marked in red on your map and/or you will see a status icon on your HUD upon entering them. There is no need to frantically check your map to avoid entering them by accident - they are usually fenced and accompany military bases, outposts, factories, and other military or strategic points of interest.",,
JWK-FM-Gameplay-Illegalzones-Title,Illegal zones,Illegale Zonen,
JWK-FM-Gameplay-Illegalzones-b557e539-Militarypersonne,Military personnel is allowed to be present within illegal zones. You can <b>disguise</b> yourself in enemy uniform to walk around freely.,,
JWK-FM-Gameplay-Money-26395fd0-Ifyouareextremel,"If you are extremely desperate, you can try extorting defenceless civilians. This should be your last resort, as it turns them hostile against you and makes you lose their hard-earned support.",,
JWK-FM-Gameplay-Money-72c051fe-Moneymakesthewor,"<b>Money</b> makes the world go around and it is no different in *Freedom Fighters*. You will need it to buy gear, supplies, hire subordinates and expand your bases. Amount of possessed money can be checked at any moment by opening the inventory menu.",,
JWK-FM-Gameplay-Money-7c9038e6-Therearemultiple,"There are multiple ways to make money, but collecting enemy dogtags and turning them in to the resistance is the most rewarding one. You can also sell equipment looted from the enemy.",,
